Key,english
//orange asterisk variant,
army_camp_09,Camp Hollow Point[00FFFF]*[-]
army_camp_10,Green Hill[00FFFF]*[-]
bombshelter_03,The Cylinder[00FFFF]*[-]
bombshelter_04,Bomb Shelter 41[00FFFF]*[-]
countrytown_church_02,Church Of The Blinding Faith[00FFFF]*[-]
farm_18,McOivey Farms[00FFFF]*[-]
house_modern_32,The Wade Residence[00FFFF]*[-]
house_modern_33,The Prado Residence[00FFFF]*[-]
house_modern_34,Casa Carneiro[00FFFF]*[-]
house_modern_35,The Muggins Residence[00FFFF]*[-]
industrial_60_01,Granddaddy's Cable Regional Service Center[00FFFF]*[-]
industrial_60_02,Ironwood Paper Mill[00FFFF]*[-]
industrial_60_03,Beanthere Coffee Company[00FFFF]*[-]
industrial_60_04,ChemTech Distribution Center[00FFFF]*[-]
industrial_strip_01,Palo Verde Brickworks[00FFFF]*[-]
industrial_strip_02,NC Bus Repair Site[00FFFF]*[-]
industrial_strip_03,BONG Auto Parts Manufacturing[00FFFF]*[-]
industrial_strip_05,Pawsnout Factory[00FFFF]*[-]
industrial_strip_06,Water Treatment Plant[00FFFF]*[-]
industrial_strip_09,Soyer Family Slaughterhouse[00FFFF]*[-]
industrial_strip_10,Booze Hound Brewery[00FFFF]*[-]
industrial_strip_11,Regional Paper Company[00FFFF]*[-]
lot_countryres_01,Grim Gazebo[00FFFF]*[-]
lot_countryres_02,Sunny Creek Park[00FFFF]*[-]
lot_countryres_07,Community Gardens[00FFFF]*[-]
lot_countryres_08,Picnic Pond[00FFFF]*[-]
lot_countryres_09,Maple Slide Park[00FFFF]*[-]
lot_countryres_10,Old Timber Yard[00FFFF]*[-]
lot_countryres_11,Abandoned Silo[00FFFF]*[-]
lot_countryres_12,Old Johnson's Shed[00FFFF]*[-]
lot_countryres_13,Transmission Station[00FFFF]*[-]
lot_countryres_16,The O-Well[00FFFF]*[-]
lot_countryres_17,Woody's Wood Supply[00FFFF]*[-]
lot_countryres_18,Community Greenhouse[00FFFF]*[-]
lot_countryres_20,Leyline Electric Depot[00FFFF]*[-]
lot_countrytown_01,Natas Parking[00FFFF]*[-]
lot_countrytown_02,John & Sons Construction[00FFFF]*[-]
lot_countrytown_05,AG1 Feed[00FFFF]*[-]
lot_countrytown_06,Kountry Mart[00FFFF]*[-]
lot_countrytown_07,Farmer's Market[00FFFF]*[-]
lot_countrytown_08,Rusty's Razors[00FFFF]*[-]
lot_countrytown_10,Red Star Gift Shop[00FFFF]*[-]
lot_countrytown_12,Cleetus' Car Recycling[00FFFF]*[-]
lot_countrytown_13,Car Impound Lot[00FFFF]*[-]
remnant_downtown_filler_03,Couch Kingz Court[00FFFF]*[-]
remnant_downtown_filler_10,PlusPoint Offices[00FFFF]*[-]
remnant_downtown_filler_13,Bean Counter Court[00FFFF]*[-]
remnant_industrial_large_01,Infested Construction Site[00FFFF]*[-]
remnant_industrial_strip_07,Warehouse Outpost[00FFFF]*[-]
remnant_industrial_strip_08,Ice Factory[00FFFF]*[-]
remnant_industrial_strip_09,Fortified Fizz Cola Warehouse[00FFFF]*[-]
remnant_industrial_strip_10,Crystal Spin Industrial Laundry[00FFFF]*[-]
remnant_industrial_strip_11,Old Genrik Plant[00FFFF]*[-]
remnant_industrial_strip_12,Northline Inspection Depot[00FFFF]*[-]
rubble_burnt_filler_06,Ranger Station Hotel[00FFFF]*[-]
rubble_burnt_filler_08,St. Sera's Church[00FFFF]*[-]
rubble_burnt_filler_09,Pharson's Residence[00FFFF]*[-]
rubble_wasteland_filler_07,Dark Coffee Co[00FFFF]*[-]
rubble_wasteland_filler_09,Faraway Storage[00FFFF]*[-]
site_camp_03,Tranquil Terraced Retreat[00FFFF]*[-]
site_camp_11,The Circle[00FFFF]*[-]
site_grave_03,The Executioner's Trench[00FFFF]*[-]
site_shack_02,The Love Shack[00FFFF]*[-]
site_vendor_03,Culinary Cruiser[00FFFF]*[-]
soccer_stadium_01,Champions Coliseum[00FFFF]*[-]
water_tower_04,Water Tower #4[00FFFF]*[-]
lot_countryres_14,Waterworks Substation[00FFFF]**[-]
lot_countryres_15,[00FFFF]Abandonned Construction Site[00FFFF]**[-]
remnant_commercial_strip_06,[00FFFF]Body and Saul Plaza[00FFFF]**[-]
remnant_industrial_large_02,Dept. of Transportation Depot[00FFFF]**[-]
